Designator,Mid X,Mid Y,Rotation,Layer
(CAPTURE)A2,182.75,-153.0,0.0,top
(HOME)A1,173.75,-153.0,0.0,top
(LS)L3,155.75,-153.0,0.0,top
(RS)R3,164.75,-153.0,0.0,top
B1(1K)1,146.75,-117.0,0.0,top
B2(2K)1,137.75,-117.0,0.0,top
B3(1P)1,110.75,-117.0,0.0,top
B4(2P)1,136.5,-126.0,0.0,top
DOWN1,173.75,-117.0,0.0,top
J1,114.2,-139.8,270.0,top
J2,132.24,-152.0,270.0,top
J3,126.8,-137.4,270.0,top
J4,107.7875,-135.25,180.0,top
J5,114.2,-124.0,270.0,top
J6,126.8,-124.0,270.0,top
L1(4P)1,136.5,-144.0,0.0,top
L2(4K)1,119.75,-117.0,0.0,top
LEFT1,155.75,-117.0,0.0,top
R1(3P)1,136.5,-135.0,0.0,top
R2(3K)1,128.75,-117.0,0.0,top
RIGHT1,164.75,-117.0,0.0,top
S1(SELECT)1,137.75,-153.0,0.0,top
S2(START)1,146.75,-153.0,0.0,top
U1,170.0,-135.0,270.0,top
UP1,182.75,-117.0,0.0,top
